initialScrape,concatURL,price,totalAddress,bed,bath,sqFoot,img,lat,long,geocoderOuputAddress
/apa/4907181019.html,http://calgary.craigslist.com/apa/4907181019.html,650,"Calgary, AB, Calgary, Alberta, Canada",0,#N/A,1600,#N/A,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4907178446.html,http://calgary.craigslist.com/apa/4907178446.html,650,"Calgary, AB, Calgary, Alberta, Canada",2,1,1600,#N/A,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4907176794.html,http://calgary.craigslist.com/apa/4907176794.html,650,"Calgary, AB, Calgary, Alberta, Canada",2,1,1600,#N/A,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4907175340.html,http://calgary.craigslist.com/apa/4907175340.html,650,"Calgary, AB, Calgary, Alberta, Canada",2,1,1600,#N/A,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4907173832.html,http://calgary.craigslist.com/apa/4907173832.html,650,"Calgary, AB, Calgary, Alberta, Canada",2,1,1600,#N/A,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4902213991.html,http://calgary.craigslist.com/apa/4902213991.html,1350,"6231 Bowness Road NW, Calgary, Alberta, Canada",2,1,1000,http://images.craigslist.org/00808_lUDJacGhMRV_600x450.jpg,51.084591,-114.177895,"6231 Bowness Road Northwest, Calgary, AB T3B 0E2, Canada"
/apa/4906801665.html,http://calgary.craigslist.com/apa/4906801665.html,1320,"Falchurch NE at Falconridge, Calgary, Alberta, Canada",3,1.5,1200,#N/A,51.099919,-113.944304,"Falconridge Drive Northeast & Falchurch Road Northeast, Calgary, AB T3J, Canada"
/apa/4882529721.html,http://calgary.craigslist.com/apa/4882529721.html,925,"University Heights, Calgary, Alberta, Canada",1,1,#N/A,#N/A,51.070306,-114.140033,"University Heights, Calgary, AB T2N, Canada"
/apa/4906692096.html,http://calgary.craigslist.com/apa/4906692096.html,0,", Calgary, Alberta, Canada",4,2,#N/A,http://images.craigslist.org/00O0O_j3z6a7BkN4Y_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4906692385.html,http://calgary.craigslist.com/apa/4906692385.html,0,", Calgary, Alberta, Canada",4,2,#N/A,http://images.craigslist.org/00h0h_dVz7GHZjDgw_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4906675228.html,http://calgary.craigslist.com/apa/4906675228.html,2390,"6 Ave SW, Calgary, Alberta, Canada",1,2,1000,http://images.craigslist.org/01212_cuwuwZsHNjr_600x450.jpg,51.047915,-114.078673,"6 Avenue Southwest, Calgary, AB, Canada"
/apa/4906566720.html,http://calgary.craigslist.com/apa/4906566720.html,1500,"BEDDINGTON TRAIL at BEDDINGTON DR, Calgary, Alberta, Canada",1,1,1000,http://images.craigslist.org/00Z0Z_1q2j0XDyPnE_600x450.jpg,51.127341,-114.051837,"Beddington Trail Northwest & Beddington Boulevard Northeast, Calgary, AB T3K, Canada"
