scrapedURL,concactURL,Price,nestedAddress,totalAddress,bed,bath,sqFeet,imageURL,latitude,longitude,outputAddress,,original URL,http://calgary.craigslist.ca/search/apa/
/apa/4900681510.html,http://calgary.craigslist.ca/apa/4900681510.html,1599,317 14th ave SW,"317 14th ave SW, Calgary, Alberta, Canada",2,1,912,http://images.craigslist.org/00404_gAlXffEi482_600x450.jpg,51.03963,-114.069477,"317 14 Avenue Southwest, Calgary, AB T2R 0M4, Canada",,concat URL,http://calgary.craigslist.ca
/apa/4900683744.html,http://calgary.craigslist.ca/apa/4900683744.html,1450,1711 - 25th Avenue SW,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00x0x_jXvxh24FrQj_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada",,initial scrape,//p/a/@href
/apa/4900681795.html,http://calgary.craigslist.ca/apa/4900681795.html,1250,1711 - 25th Avenue SW,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada",,price,//span[@class='price']
/apa/4900616210.html,http://calgary.craigslist.ca/apa/4900616210.html,1200,628 2 Avenue Northwest,"628 2 Avenue Northwest, Calgary, Alberta, Canada",2,2,1000,http://images.craigslist.org/00606_9NzrBhdFzM9_600x450.jpg,51.058885,-114.077084,"628 2 Avenue Northwest, Calgary, AB T2N 0E1, Canada",,title,//span[@class='pnr']
/apa/4900676898.html,http://calgary.craigslist.ca/apa/4900676898.html,1850,1053 10 ST SW,"1053 10 ST SW, Calgary, Alberta, Canada",1,1,785,#N/A,51.043364,-114.086494,"1053 10 Street Southwest, Calgary, AB T2R 1E3, Canada",,nested title,//h2[@class='postingtitle']
/apa/4900559293.html,http://calgary.craigslist.ca/apa/4900559293.html,1000,205 Riverfront Ave SW,"205 Riverfront Ave SW, Calgary, Alberta, Canada",1,1,800,http://images.craigslist.org/00A0A_ahiitrYU5OD_600x450.jpg,51.052285,-114.065152,"205 Riverfront Avenue Southwest, Calgary, AB T2P, Canada",,nested address,//div[@class='mapaddress']
/apa/4900465534.html,http://calgary.craigslist.ca/apa/4900465534.html,1350,Southwood,"Southwood, Calgary, Alberta, Canada",2,1,1200,http://images.craigslist.org/00G0G_kNA2o1ZTMBy_600x450.jpg,50.954562,-114.080872,"Southwood, Calgary, AB, Canada",,bed,//div//p//span[1]//b[1]
/apa/4900454068.html,http://calgary.craigslist.ca/apa/4900454068.html,1500,beddington ne,"beddington ne, Calgary, Alberta, Canada",2,1,1200,http://images.craigslist.org/01414_bgT8VfAPIaX_600x450.jpg,51.125206,-114.062708,"Beddington Boulevard Northeast, Calgary, AB, Canada",,bath,//div//p//span[1]//b[2]
/apa/4900321284.html,http://calgary.craigslist.ca/apa/4900321284.html,1200,39th street SW at 16th ave SW,"39th street SW at 16th ave SW, Calgary, Alberta, Canada",2,1,1000,http://images.craigslist.org/00B0B_9DC5MJRbupe_600x450.jpg,51.039392,-113.977249,"16 Avenue Southeast & 39 Street Southeast, Calgary, AB T2A, Canada",,sqFeet,//div//p//span[2]//b[1]
/apa/4896386011.html,http://calgary.craigslist.ca/apa/4896386011.html,1350,2720 Rundleson RD NE,"2720 Rundleson RD NE, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00J0J_47ZumDG8xAP_600x450.jpg,51.078198,-113.978885,"2720 Rundleson Road Northeast, Calgary, AB T1Y 3Z4, Canada",,imageURL,//div[@class='carousel multiimage']//div[@class='slide first visible']//@src
/apa/4896377239.html,http://calgary.craigslist.ca/apa/4896377239.html,2100,205 Riverfront Ave SW,"205 Riverfront Ave SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/01414_k8BJedDcuDI_600x450.jpg,51.052285,-114.065152,"205 Riverfront Avenue Southwest, Calgary, AB T2P, Canada",,,
/apa/4880564538.html,http://calgary.craigslist.ca/apa/4880564538.html,1195,307 Goddard Ave NE,"307 Goddard Ave NE, Calgary, Alberta, Canada",4,1,1300,http://images.craigslist.org/00202_691cphv1QdE_600x450.jpg,51.097656,-114.0568,"307 Goddard Avenue Northeast, Calgary, AB T2K 3T8, Canada",,,
/apa/4880553227.html,http://calgary.craigslist.ca/apa/4880553227.html,1395,187 Penbrooke Close SE,"187 Penbrooke Close SE, Calgary, Alberta, Canada",3,1,1000,http://images.craigslist.org/00z0z_89kkLvIPsgr_600x450.jpg,51.044884,-113.940295,"187 Penbrooke Close Southeast, Calgary, AB T2A 3N9, Canada",,,
